636,3,TPST,TOTAL PLANT STEROL
638,3,STIG,STIGMASTEROL
866,3,CAMSTR,CAMPESTEROL
816,3,SITSTR,BETA-SITOSTEROL
645,1,MUFA,"FATTY ACIDS, MONOUNSATURATED, TOTAL"
646,1,PUFA,"FATTY ACIDS, POLYUNSATURATED, TOTAL"
652,1,15:0,"FATTY ACIDS, SATURATED, 15:0, PENTADECANOIC"
653,1,17:0,"FATTY ACIDS, SATURATED, 17:0, HEPTADECANOIC"
654,1,24:0,"FATTY ACIDS, SATURATED, 24:0, TETRACOSANOIC"
817,1,16:1t,"FATTY ACIDS, MONOUNSATURATED, 16:1t, HEXADECENOIC"
818,1,18:1t,"FATTY ACIDS, MONOUNSATURATED, 18:1t, OCTADECENOIC"
852,1,22:1t,"FATTY ACIDS, MONOUNSATURATED, 22:1t, DOCOSENOIC"
819,1,18:2i,"FATTY ACIDS, POLYUNSATURATED, 18:2i, LINOLEIC, OCTADECADIENOIC"
853,1,"18:2t,t","FATTY ACIDS, POLYUNSATURATED, 18:2t,t , OCTADECADIENENOIC"
838,1,18:2cla,"FATTY ACIDS, POLYUNSATURATED, CONJUGATED, 18:2 cla, LINOLEIC, OCTADECADIENOIC"
820,1,24:1c,"FATTY ACIDS, MONOUNSATURATED, 24:1c, TETRACOSENOIC"
823,1,20:2cc,"FATTY ACIDS, POLYUNSATURATED, 20:2 c,c  EICOSADIENOIC"
821,1,16:1c,"FATTY ACIDS, MONOUNSATURATED, 16:1c, HEXADECENOIC"
824,1,18:1c,"FATTY ACIDS, MONOUNSATURATED, 18:1c, OCTADECENOIC"
825,1,18:2ccn-6,"FATTY ACIDS, POLYUNSATURATED, 18:2 c,c n-6,  LINOLEIC, OCTADECADIENOIC"
840,1,22:1c,"FATTY ACIDS, MONOUNSATURATED, 22:1c, DOCOSENOIC"
832,1,18:3cccn-6,"FATTY ACIDS, POLYUNSATURATED, 18:3 c,c,c n-6, g-LINOLENIC, OCTADECATRIENOIC"
826,1,17:1,"FATTY ACIDS, MONOUNSATURATED, 17:1, HEPTADECENOIC"
827,1,20:3undiff,"FATTY ACIDS, POLYUNSATURATED, 20:3, EICOSATRIENOIC"
829,1,TRMO,"FATTY ACIDS, TOTAL TRANS-MONOENOIC"
859,1,TRPO,"FATTY ACIDS, TOTAL TRANS-POLYENOIC"
830,1,13:0,"FATTY ACIDS, SATURATED, 13:0 TRIDECANOIC"
833,1,15:1,"FATTY ACIDS, MONOUNSATURATED, 15:1, PENTADECENOIC"
802,1,TMOS,TOTAL MONOSACCARIDES
803,1,TDIS,TOTAL DISACCHARIDES
831,1,18:3cccn-3,"FATTY ACIDS, POLYUNSATURATED, 18:3 c,c,c n-3  LINOLENIC, OCTADECATRIENOIC"
861,1,20:3n-3,"FATTY ACIDS, POLYUNSATURATED, 20:3 n-3 EICOSATRIENOIC"
854,1,20:3n-6,"FATTY ACIDS, POLYUNSATURATED, 20:3 n-6, EICOSATRIENOIC"
855,1,20:4n-6,"FATTY ACIDS, POLYUNSATURATED, 20:4 n-6, ARACHIDONIC"
841,1,18:3i,"FATTY ACIDS, POLYUNSATURATED, 18:3i, LINOLENIC, OCTADECATRIENOIC"
843,1,21:5,"FATTY ACIDS, POLYUNSATURATED, 21:5"
845,1,22:4n-6,"FATTY ACIDS, POLYUNSATURATED, 22:4 n-6, DOCOSATETRAENOIC"
846,1,24:1undiff,"FATTY ACIDS, MONOUNSATURATED,  24:1undifferentiated, TETRACOSENOIC"
847,1,12:1,"FATTY ACIDS, MONOUNSATURATED, 12:1, LAUROLEIC"
848,1,22:3,"FATTY ACIDS, POLYUNSATURATED, 22:3,"
849,1,22:2,"FATTY ACIDS, POLYUNSATURATED, 22:2, DOCOSADIENOIC"
868,1,TOmega n-3,"FATTY ACIDS, POLYUNSATURATED, TOTAL OMEGA  N-3"
869,1,TOmega n-6,"FATTY ACIDS, POLYUNSATURATED, TOTAL OMEGA   N-6"
